Token,Count
romeo,291
juliet,177
thy,165
information,147
prepared,147
project,147
gutenberg,147
legal,147
advisor,147
nurse,146
capulet,144
love,135
shall,109
lady,108
friar,100
come,88
mercutio,83
ill,83
benvolio,80
enter,76
good,76
go,73
tybalt,70
death,69
well,69
man,66
night,65
hath,64
one,60
paris,57
sir,56
art,55
would,54
say,50
dead,48
doth,47
may,47
give,46
yet,46
tell,45
montague,44
fair,44
let,44
upon,43
day,43
take,41
tis,40
must,40
make,40
like,40
much,37
prince,36
see,36
know,35
time,34
sweet,32
exit,32
gone,32
servant,31
look,31
exeunt,31
lord,31
us,30
wilt,30
back,29
mine,29
heaven,29
old,28
ay,28
hast,28
god,28
peter,27
scene,27
true,27
speak,27
light,27
eyes,27
word,26
house,26
comes,26
stay,26
hence,26
heart,26
dear,26
stand,25
hand,25
young,24
part,24
find,24
name,24
therefore,23
away,23
marry,23
call,23
die,23
watch,23
sampson,22
till,22
bed,22
father,22
face,22
two,21
lawrence,21
life,21
hear,21
madam,21
bid,21
cannot,21
within,21
holy,21
men,20
nay,20
lie,20
made,20
ere,20
tears,20
farewell,20
ah,20
think,20
balthasar,19
gregory,19
wife,19
peace,19
lies,19
eye,19
married,19
live,18
earth,18
never,18
faith,18
son,17
could,17
put,17
villain,17
hold,17
hour,17
lips,17
cell,17
slain,17
blood,16
keep,16
capulets,16
long,16
grave,16
rest,16
early,16
romeos,16
dost,16
poor,16
pray,16
county,16
help,16
friend,15
whose,15
sun,15
alone,15
cousin,15
world,15
none,15
tomorrow,15
news,15
banished,15
daughter,14
mantua,14
fear,14
lives,14
head,14
nothing,14
still,14
loves,14
thine,14
said,14
child,14
poison,14
mother,14
fall,14
soul,14
gentleman,14
woe,14
tonight,14
joy,14
breath,14
haste,14
thursday,14
musician,14
kinsman,13
new,13
hands,13
place,13
came,13
many,13
soon,13
without,13
grief,13
else,13
leave,13
get,13
husband,13
thing,13
use,13
sound,13
send,13
verona,12
makes,12
forth,12
ever,12
turn,12
run,12
bear,12
better,12
talk,12
hate,12
happy,12
gentle,12
sleep,12
shes,12
wit,12
days,12
little,12
late,12
hither,12
sin,12
shame,12
letter,12
page,11
another,11
lay,11
draw,11
quarrel,11
show,11
law,11
ho,11
shalt,11
beauty,11
oer,11
years,11
even,11
since,11
best,11
warrant,11
marriage,11
full,11
bring,11
tybalts,11
ears,10
set,10
heavy,10
chamber,10
black,10
first,10
hes,10
rich,10
kiss,10
though,10
desperate,10
mad,10
ye,10
master,10
neer,10
calls,10
need,10
done,10
dream,10
flower,10
every,10
straight,10
kill,10
pale,10
says,10
answer,10
alack,10
pardon,10
tongue,10
church,10
monument,10
john,9
apothecary,9
musicians,9
play,9
ancient,9
end,9
move,9
maid,9
foot,9
ground,9
case,9
either,9
means,9
heres,9
weep,9
hearts,9
forget,9
unto,9
way,9
comfort,9
rosaline,9
indeed,9
great,9
saw,9
sight,9
others,9
swear,9
music,9
whats,9
twenty,9
silver,9
body,9
vault,9
juliets,8
lovers,8
mean,8
wall,8
bite,8
sword,8
mind,8
clouds,8
counsel,8
noble,8
hide,8
mistress,8
bound,8
welcome,8
last,8
merry,8
ladys,8
enough,8
thus,8
torch,8
thats,8
things,8
mens,8
anon,8
vile,8
gentlemen,8
boy,8
saint,8
meet,8
high,8
words,8
sorrow,8
woes,8
thought,8
banishment,8
churchyard,8
abraham,7
three,7
act,7
fearful,7
hours,7
montagues,7
shows,7
feel,7
flesh,7
among,7
hell,7
noise,7
bloody,7
morning,7
air,7
lets,7
short,7
alas,7
cold,7
sick,7
sea,7
near,7
hit,7
canst,7
behold,7
stars,7
dark,7
gives,7
writ,7
book,7
thousand,7
beseech,7
follow,7
measure,7
tender,7
times,7
ear,7
bosom,7
hot,7
sit,7
past,7
fetch,7
looks,7
open,7
thyself,7
sudden,7
next,7
tomb,7
hie,7
killd,7
corse,7
woeful,7
dagger,7
heads,6
citizens,6
moved,6
dog,6
stir,6
maids,6
pretty,6
hadst,6
thumb,6
serve,6
remember,6
fight,6
fire,6
servants,6
close,6
hurt,6
seen,6
deep,6
home,6
prove,6
unless,6
envious,6
aside,6
morrow,6
loving,6
lead,6
breast,6
dies,6
read,6
ii,6
street,6
fourteen,6
feast,6
sirrah,6
names,6
fortune,6
letters,6
iii,6
wheres,6
matter,6
age,6
fool,6
took,6
jest,6
wast,6
wish,6
less,6
strength,6
nights,6
spoke,6
rude,6
care,6
ha,6
tale,6
yonder,6
cheek,6
youth,6
thank,6
honest,6
enemy,6
strange,6
kind,6
found,6
speaks,6
arm,6
murder,6
didst,6
reenter,6
company,6
flowers,6
cheeks,6
theres,6
second,6
goose,6
cords,6
fie,6
bones,6
princes,6
doom,6
exile,6
lark,6
houses,5
uncle,5
women,5
break,5
piteous,5
swords,5
strike,5
quickly,5
dare,5
side,5
fray,5
foe,5
pleasure,5
withal,5
scorn,5
right,5
sighs,5
cause,5
friends,5
far,5
shrift,5
nine,5
sad,5
rough,5
bright,5
going,5
soft,5
mark,5
gold,5
wise,5
wisely,5
ladies,5
blind,5
honourable,5
change,5
bride,5
consent,5
voice,5
written,5
shut,5
fellow,5
daughters,5
brother,5
room,5
awhile,5
laid,5
quoth,5
grace,5
might,5
already,5
brief,5
lover,5
girl,5
iv,5
five,5
excuse,5
dance,5
wings,5
wits,5
ask,5
asleep,5
shape,5
half,5
state,5
fingers,5
dreams,5
untimely,5
ready,5
longer,5
ist,5
blessed,5
wherefore,5
patience,5
fine,5
prepare,5
yond,5
heir,5
power,5
satisfied,5
return,5
tear,5
fain,5
form,5
trust,5
gave,5
lawrences,5
mans,5
ring,5
chide,5
lamentable,5
ease,5
stop,5
hare,5
commend,5
joyful,5
simple,5
reason,5
mercutios,5
falls,5
slew,5
slay,5
mercy,5
living,5
hang,5
proud,5
wake,5
chorus,4
attendants,4
civil,4
fatal,4
rage,4
remove,4
attend,4
fought,4
cruel,4
cut,4
known,4
begin,4
kinsmen,4
beats,4
beat,4
spite,4
seek,4
steel,4
veins,4
torture,4
quiet,4
streets,4
pay,4
depart,4
along,4
golden,4
window,4
east,4
walk,4
towards,4
mornings,4
dew,4
daylight,4
secret,4
sadness,4
anything,4
